category,question,option1,option2,option3,option4,correct
國語,下列選項「　」中的字義，何者錯誤？,「存」錢：寄放、儲蓄。,「寄」信：傳達言語、書信、心意等。今多指透過郵遞傳送。,「獎」狀：把東西送給他人。,「募」款：廣求、召集。,3
國語,下列「死」字的字義，哪一個和其他不同？,「死」亡,「死」去,「死」腦筋,「死」於非命。,3
國語,下列選項「　」中的字義，何者前後相同？,記「帳」／「帳」篷,「死」亡／「死」背,「叮」咬／「叮」嚀,收「藏」／儲「藏」。,4
國語,「雜誌」的「誌」字義為何？,標識、記號。,表示、表達。,一種記事的文體。,記錄、記載。,3
國語,下列哪組詞語的關係和「喜不自禁／欣喜若狂」相同？,聚精會神／聚沙成塔,夢想成真／大夢初醒,驚慌失措／六神無主,全力以赴／半途而廢。,3
國語,下列「帳」的字義，哪一個和其他三者不同？,蚊「帳」,「帳」篷,記「帳」,營「帳」。,3
國語,根據蚊帳大使一文，貝克漢把凱瑟琳寄的獎狀圖片貼到個人網站，主要目的可能是什麼？,炫耀自己所做的善事。,喚起世人關注響應捐款。,提供大家下載圖片。,幫凱瑟琳完成學校作業。,2
國語,根據蚊帳大使一文，下列何者不是凱瑟琳實踐夢想的具體行動？,存錢買蚊帳。,四處演講募集蚊帳。,寄獎狀感謝捐贈者。,親自去非洲發放蚊帳。,4
國語,根據蚊帳大使一文，下列何者是非洲居民缺乏蚊帳的原因？,政府禁止使用蚊帳。,他們不會製作蚊帳的技術。,蚊帳太貴買不起,他們不需要蚊帳。,3
國語,根據蚊帳大使一文，只要蚊帳協會是專門幫助哪個地區的孩子募集蚊帳的組織？,歐洲,亞洲,非洲,南美洲。,3
國語,根據蚊帳大使一文，下列哪一個選項最適合形容凱瑟琳為孩童募集蚊帳的過程？,無憂無慮,築夢踏實,勤能補拙,不自量力。,2
國語,根據蚊帳大使一文，「蚊帳大使」這個稱號最能代表凱瑟琳的哪一項舉動？,她研發許多不同材質的蚊帳。,她熱衷於研究蚊子的生態。,她透過各種努力，讓許多人關注並幫助受瘧疾之苦的孩子。,她是世界上年紀最小的昆蟲學家。,3
國語,根據蚊帳大使一文，凱瑟琳得知在非洲每三十秒就有小孩因感染瘧疾而去世，她對此感到難過的原因是什麼？,死亡的小孩是她的同學。,她的弟弟也感染過瘧疾。,她覺得非洲的小孩很可憐。,得到瘧疾就一定會死。,3
國語,根據蚊帳大使一文，為什麼比爾‧蓋茲願意捐助一大筆錢給只要蚊帳協會？,他聽到凱瑟琳的演講而深受感動。,他喜歡凱瑟琳設計的獎狀。,他被凱瑟琳積極助人的行為感動。,他親自到非洲了解居民的需求。,3
國語,蚊帳大使一文中，凱瑟琳收到只要蚊帳協會的感謝信，為什麼還是不開心？,瘧疾是可怕的傳染病。,她是年紀最小的捐贈人。,只有她捐出蚊帳。,非洲還有很多人需要蚊帳。,4
國語,根據蚊帳大使一文，下列何者不是　凱瑟琳被封為「蚊帳大使」的原因？,她為了募集蚊帳很努力。,她影響很多人加入捐贈蚊帳的行動。,她像大使一樣把愛傳送出去，救了非洲的孩子。,她捐贈的蚊帳數量最多。,4
國語,蚊帳大使一文中多次提到蚊帳的作用，主要想表達什麼？,蚊帳很好看。,蚊帳可以救人。,蚊帳很昂貴。,蚊帳很難製造。,2
國語,根據蚊帳大使一文，凱瑟琳透過什麼事表達對蚊帳捐贈者的感謝之意？,打電話,親手繪製獎狀,合影拍照,在網站公告姓名。,2
國語,根據蚊帳大使一文，凱瑟琳得知非洲平均每三十秒就有孩子因瘧疾而死之後，對媽媽說：「我們需要做點什麼！」她的想法是什麼？,想跟媽媽討論新聞時事內容。,進行數學計算，得到答案。,希望媽媽能捐款給非洲兒童。,希望自己能有所行動幫助他人。,4
國語,蚊帳大使一文中，提到非洲平均每三十秒就有一個小孩因瘧疾去世，作者寫這句話最可能的用意是什麼？,描寫時間流逝十分迅速。,提醒大家應正視孩童健康問題。,使用數據加強文章說服力。,說明瘧疾問題非常嚴重。,4
國語,下列何者不是　蚊帳大使一文所要表達的想法？,年紀小也能改變世界。,讀過一本好書，像交了一個益友。,夢想的力量可以像雪球愈滾愈大。,要實現夢想需要勇敢行動並堅持到底。,2
國語,可可：「我最近讀了蚊帳大使這篇文章，很佩服小小年紀的凱瑟琳可以改變世界，你們讀完有什麼想法呢？」佳佳：「這篇文章很特別，一開頭出現的是『西元二○一八年六月，被封為蚊帳大使的美國女孩──凱瑟琳來到臺灣發表演講……』這些敘述讓我很想知道為什麼凱瑟琳會被封為『蚊帳大使』。」奇奇：「我有同感。從文章第二段開始，作者告訴我們凱瑟琳為了實現募集蚊帳的夢想，從自身捐蚊帳做起，接著擴大到公益活動，號召其他人參與。凱瑟琳一步步的往夢想前進，真了不起！」妙妙：「文章的最後一段：『凱瑟琳一步步讓夢想成真，這股夢想的力量如雪球般愈滾愈大，不僅讓孩子救了孩子，把不可能化為可能，更使成千上萬的非洲兒童遠離瘧疾。』作者的這番話鼓勵我們，只要全力以赴，就算年紀小也能做善事。」想一想，如果以○代表起因，□代表經過，△代表結果，☆代表結語，下列哪一個結構圖符合蚊帳大使這篇文章的內容安排呢？,△→○→□→☆,□→☆→○→△,○→□→△→☆,☆→△→□→○,1
國語,蚊帳大使一文中提到「只要全力以赴，就能擁夢飛翔，改變世界」，這句話想要傳達的核心意義是什麼？,只要肯努力行動，即使力量微小也能產生大改變。,想改變世界必須先學會如何飛行。,只有像比爾．蓋茲那樣的富豪才能改變世界。,夢想只要放在心裡，總有一天會自動實現。,1
國語,根據蚊帳大使一文，「凱瑟琳聽到平均每三十秒就有一個小孩因瘧疾去世時，立刻想到家中三歲的弟弟。」從這句話可以知道什麼訊息？,凱瑟琳希望大眾多關注非洲兒童。,凱瑟琳因同理心而產生行動的動機。,弟弟希望凱瑟琳能幫助非洲人民。,凱瑟琳家庭成員的組成。,2
國語,根據蚊帳大使一文，若當時有新聞報導凱瑟琳募集蚊帳的行動，下列哪個新聞標題不適合？,非洲舉辦聯合募款活動，吸引全球目光。,名人支持公益，捐出鉅額幫助非洲孩童。,非洲瘧疾問題嚴重，蚊帳需求增加。,五歲女孩發起募蚊帳行動，號召你我參加。,1
國語,蚊帳大使一文提到「夢想的力量如雪球般愈滾愈大」，這句話的意思最接近下列何者？,人生如同一場夢，短暫而虛幻。,最初的夢想絕對會實現。,就算生活再艱難，也要勇敢追夢。,微弱的星光聚在一起，也能照亮漫長黑夜。,4
國語,根據蚊帳大使一文，當凱瑟琳得知非洲孩子死於瘧疾，立刻決定要「做點什麼」來幫助他們，由此可知她具有什麼特質？,樂觀,熱心,自信,謙虛。,2
國語,根據蚊帳大使一文，下列何者不是　凱瑟琳募款的方式？,捐出自己的教育費,在二手市場義賣,製作獎狀和寫信,去教堂演講。,1
國語,下列何者不是　蚊帳大使一文所描述的內容？,凱瑟琳的成長背景。,凱瑟琳捐贈蚊帳的原因。,凱瑟琳募款的經過。,作者對凱瑟琳助人事件的看法。,1
國語,「每張獎狀都是由她聚精會神□一筆一畫的寫下□□以你的名義，我們買下一頂蚊帳，送給非洲的孩子□□」空格中依序應填入哪些標點符號？,，：，：。,、：、、。,、：「。」,、，「。」,3
國語,「她一臉驚慌失措的對媽媽說□□我們需要做點什麼□□」空格中依序應填入哪些標點符號？,，「！」,：「！」,：『？』,。「？」,2
國語,「凱瑟琳和媽媽買了一頂大蚊帳□找到只要蚊帳協會□專門為非洲孩子募集蚊帳的團體□把蚊帳寄過去。」空格中依序應填入哪些標點符號？,，ˉ——。,，，，,，「」,，ˉ——，,4
國語,「蓋茲基金會宣布捐助三百萬美元給只要蚊帳協會□響應□捐一頂蚊帳□救一條生命□的活動。」空格中依序應填入哪些標點符號？,，，，，,。，，，,，：，。,，「，」,4
國語,「這股夢想的力量如雪球般愈滾愈大。」句中運用了何種修辭法？,譬喻,引用,排比,設問。,1
國語,兩種不同的事物，只要有相同的地方，就可以拿來互相比方，叫做「譬喻」。下列文句，何者使用了「譬喻」修辭？,這件外套好像是隔壁同學的，我要趕快還給他。,今天爸爸好像要加班，所以會晚點回家。,他的臉色很蒼白，看起來好像生病了。,雨水沿著屋簷流下來，好像一條小小的瀑布。,4
國語,兩種不同的事物，只要有相同的地方，就可以拿來互相比方，叫做「譬喻」。下列文句，何者不是使用了「譬喻」修辭？,樹上的麻雀就像歌唱家，認真的練習大合唱。,小白兔好像遇到了傷心事，眼睛哭得紅通通的。,小狗是勇敢的守衛，牠叫了一聲，小偷就嚇得逃走了。,小青蛙好像跳遠高手，賣力的在草地上跳來跳去。,2
國語,下列哪一個字去掉部首之後，注音和原本的字不同？,「蚊」香,沙「洲」,「叮」囑,「贈」送。,4
國語,「美無所不在，□□我們仔細觀察、用心體會，□會發現生活中處處是驚奇。」空格中依序應填入下列何者？,只要，就,不但，還,除了，也,就算，也。,1
國語,下列哪一組國字的部首不同？,瘧／疾,帳／幕,募／藏,獎／狀。,3
國語,下列國字的部首何者錯誤？,帳：巾部,疾：疒部,存：人部,集：隹部。,3
國語,下列國字的部首何者正確？,死：匕部,募：力部,藏：戈部,狀：爿部。,2
國語,「從日常生活落實垃圾分類，□□可以減少垃圾量，□可以使資源循環再利用。」空格中依序應填入下列何者？,雖然，卻,如果，就,不但，還,要是，就。,3
國語,「□□我們已經相當疲累，□□距離目的地還相當遙遠，只好稍做休息就繼續趕路。」空格中依序應填入下列何者？,除了，還會,因為，所以,不但，而且,雖然，可是。,4
國語,下列哪個選項中的字刪除部首後，剩下的部分和其他三者不同？,紋,斑,吝,蚊。,2
國語,下列哪一組國字的部首不同？,瘧／疾,贈／買,叮／寄,獎／狀。,3
國語,「赴湯蹈火」是比喻奮不顧身，不避艱險。下列哪個詞語和它的意思相反？,一蹶不振,奮不顧身,貪生怕死,死灰復燃。,3
國語,下列哪一個詞語的意思是「集結眾人的智慧，廣泛吸收有益的意見」？,大聲疾呼,集思廣益,赴湯蹈火,寄人籬下。,2
國語,「地球生態危機已敲響警鐘，環保團體□□□□，從日常落實環保的重要性。」空格中應填入下列何者？,碩果僅存,大聲疾呼,集思廣益,死灰復燃。,2
國語,「這些年來，為了爭取農民的權益，他不惜□□□□，冒險犯難。」空格中應填入下列何者？,死灰復燃,寄人籬下,赴湯蹈火,集思廣益。,3
國語,「為了校慶表演，班長要大家□□□□，想出創新的花樣，希望能有更完美的演出。」空格中應填入下列何者？,碩果僅存,寄人籬下,赴湯蹈火,集思廣益。,4
國語,「烤肉後要確實熄滅火苗，以免□□□□，造成火災。」空格中應填入下列何者？,大聲疾呼,死灰復燃,碩果僅存,集思廣益。,2
國語,「面對困難，只要大家願意集結眾人的智慧，廣泛吸收有益的意見，一定能找到突破的方法。」下列哪個詞語可以用來形容這種情形？,大聲疾呼,赴湯蹈火,碩果僅存,集思廣益。,4
國語,「寄人籬下」比喻依附他人，而不能自立。下列哪一個詞語和它的意思相反？,大聲疾呼,集思廣益,自立門戶,碩果僅存。,3
國語,「那幅□□□□的油畫，可是他奮不顧身從火場裡搶救出來的。」空格中應填入下列何者？,大聲疾呼,碩果僅存,赴湯蹈火,集思廣益。,2
國語,「一場大地震讓這些居民失去家園，只好投奔親戚，過著□□□□的生活。」空格中應填入下列何者？,寄人籬下,赴湯蹈火,集思廣益,大聲疾呼。,1
